,unit_name,major_award_count,trr_count,unsustained_count,white,black,other,black_dominant_district,non_black_dominant_district,female,male,misconduct_rate_higher_than_11,misconduct_rate_level
61,21,0,1,1,0,0,1,0,1,0,1,0,high
62,6,0,5,10,0,1,0,0,1,0,1,0,low
63,6,0,4,18,0,1,0,0,1,0,1,0,low
64,15,0,0,0,1,0,0,0,1,0,1,0,low
65,24,0,3,6,0,0,1,0,1,0,1,0,low
66,10,1,0,11,0,0,1,0,1,0,1,0,medium
67,8,0,5,3,0,1,0,1,0,0,1,0,medium
68,4,1,4,49,0,0,1,0,1,0,1,0,low
69,10,1,0,7,1,0,0,0,1,0,1,0,medium
70,3,0,0,10,0,1,0,0,1,0,1,0,low
71,3,0,0,7,1,0,0,0,1,0,1,0,low
72,17,0,0,0,1,0,0,0,1,0,1,0,low
73,9,0,0,0,1,0,0,1,0,0,1,0,medium
74,25,0,0,22,1,0,0,0,1,0,1,0,low
75,7,0,7,35,0,1,0,0,1,0,1,0,low
76,6,0,2,5,0,1,0,0,1,0,1,0,low
77,19,0,0,3,1,0,0,0,1,0,1,0,low
78,10,1,39,29,0,0,1,0,1,0,1,0,medium
79,25,1,7,9,1,0,0,0,1,0,1,0,low
80,19,0,0,4,1,0,0,0,1,0,1,0,low
81,10,1,2,5,1,0,0,0,1,0,1,0,medium
82,24,0,0,2,1,0,0,0,1,1,0,0,low
83,25,0,1,7,1,0,0,0,1,1,0,0,low
84,6,0,19,3,0,0,1,0,1,0,1,0,low
85,9,0,0,0,1,0,0,1,0,0,1,0,medium
86,6,0,0,0,0,1,0,0,1,0,1,0,low
87,14,0,0,0,1,0,0,1,0,0,1,0,medium
88,10,1,1,9,1,0,0,0,1,0,1,0,medium
89,10,1,1,4,0,0,1,0,1,0,1,0,medium
90,25,0,4,6,0,0,1,0,1,0,1,0,low
91,8,0,5,6,1,0,0,1,0,0,1,0,medium
92,6,0,8,56,0,1,0,0,1,0,1,0,low
93,12,0,5,16,1,0,0,0,1,0,1,0,low
94,8,0,6,17,1,0,0,1,0,1,0,0,medium
95,8,0,4,4,1,0,0,1,0,0,1,0,medium
96,9,0,5,6,1,0,0,1,0,1,0,0,medium
97,6,0,5,15,0,1,0,0,1,0,1,0,low
98,24,0,1,2,1,0,0,0,1,0,1,0,low
99,15,0,1,2,0,0,1,0,1,1,0,0,low
100,23,0,0,0,1,0,0,0,1,0,1,0,high
101,11,0,1,8,1,0,0,1,0,0,1,0,medium
102,25,0,10,0,1,0,0,0,1,0,1,0,low
103,12,0,3,8,1,0,0,0,1,0,1,0,low
104,6,0,0,0,0,1,0,0,1,0,1,0,low
105,22,0,0,8,1,0,0,0,1,0,1,0,low
106,9,0,0,22,1,0,0,1,0,0,1,0,medium
107,15,0,0,0,1,0,0,0,1,0,1,0,low
108,25,0,0,14,1,0,0,0,1,0,1,0,low
109,23,0,0,7,1,0,0,0,1,0,1,0,high
110,15,0,0,2,1,0,0,0,1,0,1,0,low
111,19,0,0,0,1,0,0,0,1,0,1,0,low
112,19,0,0,0,1,0,0,0,1,0,1,0,low
113,5,0,0,0,0,1,0,0,1,0,1,0,low
114,6,0,0,0,0,1,0,0,1,0,1,0,low
115,24,0,0,9,1,0,0,0,1,1,0,0,low
116,14,0,0,0,0,0,1,1,0,0,1,0,medium
117,13,0,0,0,0,0,1,0,1,0,1,0,high
118,5,0,0,2,1,0,0,0,1,0,1,0,low
119,4,1,0,1,0,1,0,0,1,0,1,0,low
120,22,0,0,0,1,0,0,0,1,0,1,0,low
121,10,1,0,2,1,0,0,0,1,0,1,0,medium
122,7,0,0,6,0,1,0,0,1,0,1,0,low
123,9,0,0,0,1,0,0,1,0,0,1,0,medium
124,3,0,0,10,0,1,0,0,1,0,1,0,low
125,2,0,0,2,0,1,0,0,1,0,1,0,low
126,1,0,0,0,0,1,0,0,1,0,1,0,low
127,7,0,0,1,0,1,0,0,1,0,1,0,low
128,24,0,0,0,1,0,0,0,1,0,1,0,low
129,2,0,0,1,0,1,0,0,1,0,1,0,low
130,17,0,0,0,0,1,0,0,1,0,1,0,low
131,3,0,0,0,0,1,0,0,1,1,0,0,low
132,2,0,0,0,0,1,0,0,1,0,1,0,low
133,21,0,0,0,0,1,0,0,1,0,1,0,high
134,19,0,2,5,0,0,1,0,1,0,1,0,low
135,2,0,0,0,1,0,0,0,1,0,1,0,low
136,1,0,0,0,1,0,0,0,1,0,1,0,low
137,7,0,0,3,0,1,0,0,1,1,0,0,low
138,2,0,0,0,0,1,0,0,1,0,1,0,low
139,14,0,0,3,0,0,1,1,0,0,1,0,medium
140,16,0,0,0,1,0,0,0,1,0,1,0,low
141,8,0,0,0,1,0,0,1,0,0,1,0,medium
142,20,0,0,2,1,0,0,0,1,1,0,0,high
143,13,0,1,1,1,0,0,0,1,1,0,0,high
144,7,0,0,0,1,0,0,0,1,0,1,0,low
145,9,0,0,3,1,0,0,1,0,0,1,0,medium
146,6,0,0,0,0,1,0,0,1,0,1,0,low
147,1,0,0,0,1,0,0,0,1,0,1,0,low
148,6,0,0,0,0,1,0,0,1,0,1,0,low
149,13,0,0,0,1,0,0,0,1,0,1,0,high
150,4,1,0,0,1,0,0,0,1,0,1,0,low
151,5,0,0,0,1,0,0,0,1,0,1,0,low
152,6,0,0,0,1,0,0,0,1,0,1,0,low
153,1,0,1,8,1,0,0,0,1,0,1,0,low
154,4,1,0,0,1,0,0,0,1,0,1,0,low
155,3,0,0,1,1,0,0,0,1,0,1,0,low
156,18,0,0,2,1,0,0,0,1,0,1,0,low
157,19,0,0,1,1,0,0,0,1,1,0,0,low
158,23,0,0,0,1,0,0,0,1,0,1,0,high
159,5,0,0,1,1,0,0,0,1,0,1,0,low
160,24,0,3,20,0,1,0,0,1,0,1,0,low
161,18,0,1,4,1,0,0,0,1,0,1,0,low
162,17,0,1,7,1,0,0,0,1,0,1,0,low
163,1,0,0,0,1,0,0,0,1,0,1,0,low
164,11,0,0,0,1,0,0,1,0,0,1,0,medium
165,17,2,1,6,1,0,0,0,1,0,1,0,low
166,25,0,0,2,1,0,0,0,1,0,1,0,low
167,5,0,0,1,0,1,0,0,1,0,1,0,low
168,11,0,0,0,1,0,0,1,0,0,1,0,medium
169,14,0,0,4,1,0,0,1,0,0,1,0,medium
170,5,0,0,0,0,1,0,0,1,0,1,0,low
171,1,0,0,2,1,0,0,0,1,0,1,0,low
172,14,0,0,4,1,0,0,1,0,0,1,0,medium
173,14,0,0,25,1,0,0,1,0,1,0,0,medium
174,8,0,0,3,1,0,0,1,0,1,0,0,medium
175,9,0,0,12,1,0,0,1,0,0,1,0,medium
176,5,0,0,11,1,0,0,0,1,0,1,0,low
177,7,0,0,4,1,0,0,0,1,0,1,0,low
178,19,0,0,10,1,0,0,0,1,0,1,0,low
179,12,0,0,5,1,0,0,0,1,0,1,0,low
180,5,0,0,0,1,0,0,0,1,0,1,0,low
181,2,0,0,0,0,1,0,0,1,0,1,0,low
182,5,0,0,2,0,1,0,0,1,0,1,0,low
183,19,0,0,9,1,0,0,0,1,0,1,0,low
184,5,0,0,1,0,1,0,0,1,0,1,0,low
185,10,1,0,4,1,0,0,0,1,0,1,0,medium
186,7,0,0,4,1,0,0,0,1,0,1,0,low
187,24,0,0,21,1,0,0,0,1,0,1,0,low
188,20,0,0,7,1,0,0,0,1,1,0,0,high
189,9,0,2,14,1,0,0,1,0,0,1,0,medium
190,6,0,0,6,1,0,0,0,1,0,1,0,low
191,5,1,3,25,1,0,0,0,1,0,1,0,low
192,3,0,0,1,0,1,0,0,1,0,1,0,low
193,13,0,0,1,1,0,0,0,1,0,1,0,high
194,22,0,0,6,0,1,0,0,1,0,1,0,low
195,12,0,0,3,0,0,1,0,1,1,0,0,low
196,5,0,0,2,0,1,0,0,1,0,1,0,low
197,10,1,0,3,1,0,0,0,1,0,1,0,medium
198,25,0,0,2,1,0,0,0,1,0,1,0,low
199,16,0,0,3,1,0,0,0,1,0,1,0,low
200,6,0,6,7,1,0,0,0,1,0,1,0,low
201,8,0,4,10,1,0,0,1,0,0,1,0,medium
202,11,0,0,2,0,1,0,1,0,0,1,0,medium
203,1,1,0,7,1,0,0,0,1,0,1,0,low
204,19,0,0,4,1,0,0,0,1,0,1,0,low
205,1,0,9,19,1,0,0,0,1,0,1,0,low
206,22,0,0,5,1,0,0,0,1,0,1,0,low
207,10,1,0,1,0,0,1,0,1,0,1,0,medium
208,23,0,0,5,1,0,0,0,1,0,1,0,high
209,12,0,0,7,1,0,0,0,1,0,1,0,low
210,5,2,0,3,0,0,1,0,1,0,1,0,low
211,4,1,0,4,1,0,0,0,1,0,1,0,low
212,8,0,0,8,1,0,0,1,0,0,1,0,medium
213,10,1,0,17,1,0,0,0,1,0,1,0,medium
214,7,0,0,4,1,0,0,0,1,0,1,0,low
215,2,0,0,4,0,1,0,0,1,0,1,0,low
216,10,1,0,2,1,0,0,0,1,0,1,0,medium
217,4,1,2,14,0,1,0,0,1,0,1,0,low
218,5,0,1,1,1,0,0,0,1,1,0,0,low
219,4,1,0,9,1,0,0,0,1,0,1,0,low
220,15,0,0,2,1,0,0,0,1,0,1,0,low
221,3,0,0,21,0,1,0,0,1,0,1,0,low
222,5,1,0,6,1,0,0,0,1,1,0,0,low
223,12,0,0,0,1,0,0,0,1,0,1,0,low
224,21,0,0,0,1,0,0,0,1,0,1,0,high
225,23,0,0,1,1,0,0,0,1,0,1,0,high
226,10,1,0,1,1,0,0,0,1,0,1,0,medium
227,6,0,0,12,1,0,0,0,1,0,1,0,low
228,10,1,0,1,0,1,0,0,1,0,1,0,medium
229,9,0,0,0,0,1,0,1,0,0,1,0,medium
230,2,0,0,1,0,1,0,0,1,0,1,0,low
231,1,0,0,2,1,0,0,0,1,0,1,0,low
232,6,0,1,12,1,0,0,0,1,0,1,0,low
233,17,0,0,5,1,0,0,0,1,0,1,0,low
234,10,1,1,3,1,0,0,0,1,0,1,0,medium
235,22,0,0,9,1,0,0,0,1,0,1,0,low
236,19,0,0,1,1,0,0,0,1,0,1,0,low
237,1,0,0,2,1,0,0,0,1,0,1,0,low
238,10,2,0,0,1,0,0,0,1,0,1,0,medium
239,13,0,0,4,1,0,0,0,1,0,1,0,high
240,2,0,1,4,1,0,0,0,1,0,1,0,low
241,6,0,13,13,0,0,1,0,1,0,1,0,low
242,1,1,1,5,0,0,1,0,1,0,1,0,low
243,10,1,0,12,0,0,1,0,1,0,1,0,medium
244,1,0,0,1,0,1,0,0,1,0,1,0,low
245,1,0,0,4,1,0,0,0,1,1,0,0,low
246,14,0,2,6,1,0,0,1,0,1,0,0,medium
247,20,0,1,1,1,0,0,0,1,0,1,0,high
248,8,0,0,1,1,0,0,1,0,0,1,0,medium
249,8,0,0,2,0,1,0,1,0,0,1,0,medium
250,7,0,0,5,1,0,0,0,1,0,1,0,low
251,16,0,0,1,1,0,0,0,1,0,1,0,low
252,16,2,1,7,1,0,0,0,1,0,1,0,low
253,23,0,0,2,0,0,1,0,1,0,1,0,high
254,25,0,0,1,1,0,0,0,1,0,1,0,low
255,21,0,0,1,0,0,1,0,1,0,1,0,high
256,10,1,0,1,1,0,0,0,1,0,1,0,medium
257,21,0,0,16,1,0,0,0,1,0,1,0,high
258,16,0,0,2,1,0,0,0,1,0,1,0,low
259,14,0,0,5,1,0,0,1,0,1,0,0,medium
260,9,0,0,3,1,0,0,1,0,0,1,0,medium
261,24,0,0,1,1,0,0,0,1,0,1,0,low
262,16,0,0,3,1,0,0,0,1,0,1,0,low
263,25,0,0,2,1,0,0,0,1,0,1,0,low
264,17,0,0,1,1,0,0,0,1,0,1,0,low
265,25,0,0,1,1,0,0,0,1,0,1,0,low
266,15,0,0,1,1,0,0,0,1,1,0,0,low
267,16,0,0,8,1,0,0,0,1,1,0,0,low
268,25,0,0,1,1,0,0,0,1,0,1,0,low
269,7,0,0,5,1,0,0,0,1,0,1,0,low
270,10,1,0,3,1,0,0,0,1,0,1,0,medium
271,10,1,0,1,1,0,0,0,1,1,0,0,medium
272,19,0,0,1,1,0,0,0,1,0,1,0,low
273,19,1,9,11,1,0,0,0,1,0,1,0,low
274,12,0,0,1,1,0,0,0,1,0,1,0,low
275,3,0,0,5,0,1,0,0,1,0,1,0,low
276,10,1,0,4,1,0,0,0,1,0,1,0,medium
277,4,1,0,2,1,0,0,0,1,0,1,0,low
278,21,0,0,4,1,0,0,0,1,1,0,0,high
279,20,0,0,3,1,0,0,0,1,0,1,0,high
280,16,0,0,1,1,0,0,0,1,1,0,0,low
281,19,1,14,12,1,0,0,0,1,0,1,0,low
282,16,1,0,3,1,0,0,0,1,1,0,0,low
283,4,1,0,1,1,0,0,0,1,0,1,0,low
284,4,1,0,1,1,0,0,0,1,0,1,0,low
285,25,0,0,2,1,0,0,0,1,0,1,0,low
286,16,0,0,9,1,0,0,0,1,0,1,0,low
287,17,0,0,4,1,0,0,0,1,0,1,0,low
288,4,3,0,11,1,0,0,0,1,0,1,0,low
289,24,0,2,5,1,0,0,0,1,0,1,0,low
290,24,0,0,0,0,0,1,0,1,0,1,0,low
291,3,0,0,0,0,1,0,0,1,0,1,0,low
292,23,0,0,0,1,0,0,0,1,0,1,0,high
293,12,0,0,0,1,0,0,0,1,0,1,0,low
294,14,1,0,0,0,0,1,1,0,0,1,0,medium
295,19,0,0,0,1,0,0,0,1,0,1,0,low
296,17,0,0,0,1,0,0,0,1,0,1,0,low
297,16,0,0,0,1,0,0,0,1,0,1,0,low
298,25,0,0,0,1,0,0,0,1,0,1,0,low
299,23,0,0,0,1,0,0,0,1,0,1,0,high
300,19,0,0,0,1,0,0,0,1,0,1,0,low
301,22,0,0,0,1,0,0,0,1,0,1,0,low
302,9,0,0,0,1,0,0,1,0,0,1,0,medium
303,16,0,0,0,1,0,0,0,1,0,1,0,low
304,6,0,0,0,1,0,0,0,1,0,1,0,low
305,22,0,0,0,1,0,0,0,1,0,1,0,low
306,22,0,0,0,1,0,0,0,1,0,1,0,low
307,17,0,0,0,1,0,0,0,1,0,1,0,low
308,22,0,0,0,1,0,0,0,1,0,1,0,low
309,12,0,1,0,1,0,0,0,1,1,0,0,low
310,20,0,0,0,1,0,0,0,1,0,1,0,high
311,15,0,0,0,1,0,0,0,1,0,1,0,low
312,9,0,0,0,1,0,0,1,0,0,1,0,medium
313,6,0,0,0,1,0,0,0,1,0,1,0,low
314,17,0,0,0,1,0,0,0,1,0,1,0,low
315,19,0,0,0,1,0,0,0,1,0,1,0,low
316,13,0,0,0,1,0,0,0,1,0,1,0,high
317,3,0,0,0,1,0,0,0,1,0,1,0,low
318,8,0,0,0,1,0,0,1,0,0,1,0,medium
319,7,0,0,0,0,1,0,0,1,0,1,0,low
320,16,0,0,0,1,0,0,0,1,0,1,0,low
321,4,1,0,0,1,0,0,0,1,0,1,0,low
322,8,0,0,0,1,0,0,1,0,0,1,0,medium
323,10,1,0,0,1,0,0,0,1,0,1,0,medium
324,9,0,0,0,1,0,0,1,0,0,1,0,medium
325,9,0,0,0,1,0,0,1,0,0,1,0,medium
326,19,0,0,0,1,0,0,0,1,0,1,0,low
327,16,0,0,0,1,0,0,0,1,0,1,0,low
328,4,1,0,0,1,0,0,0,1,0,1,0,low
329,19,0,0,0,1,0,0,0,1,0,1,0,low
330,7,0,0,0,1,0,0,0,1,0,1,0,low
331,9,0,0,0,1,0,0,1,0,0,1,0,medium
332,19,0,0,0,1,0,0,0,1,0,1,0,low
333,13,0,0,0,1,0,0,0,1,0,1,0,high
334,19,0,0,0,1,0,0,0,1,0,1,0,low
335,3,0,0,0,0,1,0,0,1,0,1,0,low
336,16,0,0,0,1,0,0,0,1,0,1,0,low
337,3,0,0,0,1,0,0,0,1,0,1,0,low
338,1,0,0,0,1,0,0,0,1,0,1,0,low
339,10,1,0,1,1,0,0,0,1,0,1,0,medium
340,10,1,0,0,1,0,0,0,1,0,1,0,medium
341,10,1,0,0,1,0,0,0,1,0,1,0,medium
342,10,1,0,0,1,0,0,0,1,0,1,0,medium
343,6,0,4,27,0,0,1,0,1,0,1,0,low
344,18,0,13,9,1,0,0,0,1,0,1,0,low
345,20,0,1,6,0,0,1,0,1,0,1,0,high
346,8,0,3,28,1,0,0,1,0,0,1,0,medium
347,2,0,1,4,0,1,0,0,1,0,1,0,low
348,22,0,1,9,1,0,0,0,1,0,1,0,low
349,15,0,2,21,0,1,0,0,1,1,0,0,low
350,17,0,1,4,0,0,1,0,1,0,1,0,low
351,19,0,1,18,1,0,0,0,1,0,1,0,low
352,3,0,1,14,1,0,0,0,1,1,0,0,low
353,11,0,3,4,1,0,0,1,0,1,0,0,medium
354,15,0,3,3,1,0,0,0,1,0,1,0,low
355,1,0,2,9,1,0,0,0,1,0,1,0,low
356,11,0,1,4,1,0,0,1,0,1,0,0,medium
357,9,0,1,12,1,0,0,1,0,0,1,0,medium
358,18,0,4,16,1,0,0,0,1,0,1,0,low
359,22,0,2,7,1,0,0,0,1,0,1,0,low
360,23,0,1,5,1,0,0,0,1,0,1,0,high
361,2,0,1,7,1,0,0,0,1,0,1,0,low
362,24,0,0,18,1,0,0,0,1,0,1,0,low
363,5,0,0,2,1,0,0,0,1,0,1,0,low
364,24,0,0,0,1,0,0,0,1,0,1,0,low
365,20,0,0,5,1,0,0,0,1,0,1,0,high
366,15,0,0,0,1,0,0,0,1,0,1,0,low
367,8,0,0,0,1,0,0,1,0,0,1,0,medium
368,15,0,0,2,0,1,0,0,1,0,1,0,low
369,6,0,0,0,0,1,0,0,1,0,1,0,low
370,20,0,0,0,1,0,0,0,1,0,1,0,high
371,5,0,0,3,1,0,0,0,1,0,1,0,low
372,2,0,0,5,0,1,0,0,1,0,1,0,low
373,5,0,0,0,0,1,0,0,1,0,1,0,low
374,21,0,0,3,1,0,0,0,1,0,1,0,high
375,17,0,0,4,1,0,0,0,1,0,1,0,low
376,9,0,0,0,1,0,0,1,0,0,1,0,medium
377,1,0,0,3,0,1,0,0,1,1,0,0,low
378,8,0,0,5,1,0,0,1,0,0,1,0,medium
379,20,0,0,1,0,0,1,0,1,0,1,0,high
380,24,0,0,1,1,0,0,0,1,0,1,0,low
381,9,0,0,9,1,0,0,1,0,0,1,0,medium
382,21,0,0,12,1,0,0,0,1,0,1,0,high
383,25,0,0,2,1,0,0,0,1,0,1,0,low
384,13,0,0,1,1,0,0,0,1,0,1,0,high
385,8,0,0,10,1,0,0,1,0,0,1,0,medium
386,18,0,0,2,1,0,0,0,1,0,1,0,low
387,6,0,0,4,1,0,0,0,1,0,1,0,low
388,17,0,0,9,1,0,0,0,1,0,1,0,low
389,16,0,0,2,0,0,1,0,1,0,1,0,low
390,6,0,0,11,1,0,0,0,1,0,1,0,low
391,18,0,0,6,1,0,0,0,1,0,1,0,low
392,24,0,0,5,1,0,0,0,1,1,0,0,low
393,18,0,0,0,1,0,0,0,1,1,0,0,low
394,2,0,0,31,1,0,0,0,1,0,1,0,low
395,24,0,0,5,1,0,0,0,1,0,1,0,low
396,3,0,0,4,1,0,0,0,1,1,0,0,low
397,15,0,0,13,1,0,0,0,1,0,1,0,low
398,12,0,0,3,1,0,0,0,1,1,0,0,low
399,5,0,0,13,0,1,0,0,1,1,0,0,low
400,20,0,0,2,1,0,0,0,1,0,1,0,high
401,1,0,0,4,1,0,0,0,1,0,1,0,low
402,2,0,0,2,1,0,0,0,1,0,1,0,low
403,1,0,0,6,1,0,0,0,1,0,1,0,low
404,8,0,0,27,1,0,0,1,0,0,1,0,medium
405,16,0,0,10,1,0,0,0,1,0,1,0,low
406,16,0,0,0,1,0,0,0,1,0,1,0,low
407,5,0,0,1,1,0,0,0,1,0,1,0,low
408,25,0,0,8,1,0,0,0,1,1,0,0,low
409,17,0,0,1,1,0,0,0,1,1,0,0,low
410,25,0,0,1,1,0,0,0,1,0,1,0,low
411,23,0,0,1,1,0,0,0,1,0,1,0,high
412,19,0,0,1,1,0,0,0,1,0,1,0,low
413,22,0,0,2,1,0,0,0,1,0,1,0,low
414,15,0,0,4,0,0,1,0,1,0,1,0,low
415,22,0,0,1,1,0,0,0,1,0,1,0,low
416,11,0,0,2,1,0,0,1,0,0,1,0,medium
417,13,0,0,5,1,0,0,0,1,1,0,0,high
418,24,0,0,2,1,0,0,0,1,0,1,0,low
419,23,0,0,2,1,0,0,0,1,0,1,0,high
420,18,0,0,2,1,0,0,0,1,0,1,0,low
421,5,0,0,12,1,0,0,0,1,0,1,0,low
422,17,0,0,1,1,0,0,0,1,0,1,0,low
423,13,0,0,4,1,0,0,0,1,0,1,0,high
424,6,0,0,1,0,1,0,0,1,0,1,0,low
425,2,0,0,1,1,0,0,0,1,0,1,0,low
426,18,0,0,2,1,0,0,0,1,0,1,0,low
427,24,0,0,3,1,0,0,0,1,0,1,0,low
428,9,0,0,3,1,0,0,1,0,0,1,0,medium
429,21,0,0,9,1,0,0,0,1,0,1,0,high
430,24,0,0,1,1,0,0,0,1,0,1,0,low
431,23,0,0,1,1,0,0,0,1,0,1,0,high
432,9,0,0,2,1,0,0,1,0,0,1,0,medium
433,13,0,0,1,1,0,0,0,1,0,1,0,high
434,12,0,0,1,1,0,0,0,1,0,1,0,low
435,15,0,0,6,1,0,0,0,1,0,1,0,low
436,23,0,0,4,1,0,0,0,1,1,0,0,high
437,12,0,0,0,1,0,0,0,1,0,1,0,low
438,2,0,0,0,1,0,0,0,1,0,1,0,low
439,7,0,0,0,0,1,0,0,1,0,1,0,low
440,16,0,0,0,1,0,0,0,1,0,1,0,low
441,16,0,0,0,1,0,0,0,1,0,1,0,low
442,17,0,0,0,1,0,0,0,1,0,1,0,low
443,25,0,0,0,1,0,0,0,1,0,1,0,low
444,6,0,0,0,0,1,0,0,1,0,1,0,low
445,6,0,0,0,1,0,0,0,1,0,1,0,low
446,20,0,0,0,1,0,0,0,1,0,1,0,high
447,18,0,0,0,1,0,0,0,1,0,1,0,low
448,24,0,0,0,1,0,0,0,1,0,1,0,low
449,13,0,0,0,0,1,0,0,1,0,1,0,high
450,7,0,0,0,1,0,0,0,1,0,1,0,low
451,25,0,0,0,1,0,0,0,1,0,1,0,low
452,17,0,0,0,1,0,0,0,1,0,1,0,low
453,3,0,0,0,1,0,0,0,1,0,1,0,low
454,13,0,0,0,1,0,0,0,1,0,1,0,high
455,23,0,0,0,1,0,0,0,1,0,1,0,high
456,11,0,0,0,1,0,0,1,0,0,1,0,medium
457,11,0,0,0,1,0,0,1,0,0,1,0,medium
458,17,0,0,0,1,0,0,0,1,0,1,0,low
459,13,0,0,0,1,0,0,0,1,0,1,0,high
460,5,0,0,0,0,1,0,0,1,0,1,0,low
461,1,0,0,0,1,0,0,0,1,0,1,0,low
462,1,0,0,0,1,0,0,0,1,0,1,0,low
463,1,0,0,0,1,0,0,0,1,0,1,0,low
464,1,0,0,0,1,0,0,0,1,0,1,0,low
465,14,0,0,3,1,0,0,1,0,0,1,0,medium
466,2,0,0,3,1,0,0,0,1,0,1,0,low
467,8,0,0,1,1,0,0,1,0,0,1,0,medium
468,12,0,0,1,1,0,0,0,1,0,1,0,low
469,15,0,0,1,0,1,0,0,1,0,1,0,low
470,14,0,0,2,1,0,0,1,0,0,1,0,medium
471,11,0,0,4,1,0,0,1,0,0,1,0,medium
472,14,0,0,2,1,0,0,1,0,0,1,0,medium
473,8,0,0,1,1,0,0,1,0,0,1,0,medium
474,14,0,0,6,1,0,0,1,0,0,1,0,medium
475,8,0,0,0,1,0,0,1,0,1,0,0,medium
476,11,0,0,0,1,0,0,1,0,0,1,0,medium
477,12,0,0,0,1,0,0,0,1,0,1,0,low
478,2,0,0,0,1,0,0,0,1,0,1,0,low
479,5,0,0,0,0,0,1,0,1,0,1,0,low
480,2,0,0,0,1,0,0,0,1,0,1,0,low
481,8,0,0,0,1,0,0,1,0,0,1,0,medium
482,12,0,0,0,1,0,0,0,1,0,1,0,low
483,14,0,0,0,1,0,0,1,0,0,1,0,medium
484,14,0,0,0,1,0,0,1,0,0,1,0,medium
485,15,0,0,0,1,0,0,0,1,0,1,0,low
486,12,0,0,0,1,0,0,0,1,0,1,0,low
487,8,0,0,0,1,0,0,1,0,0,1,0,medium
488,11,0,0,0,1,0,0,1,0,0,1,0,medium
489,11,0,0,0,1,0,0,1,0,0,1,0,medium
